freq,period,carry_long,carry_short,spot_long,spot_short,total,gross,resid,universe,tenor,signal,n_buckets,weighting,max_leg_share,vol_window,rebal,vol_target,lev_cap,extra_lag,costs,cost_multiple,exposure,weight_overlay,external_legs,window_start,window_end,n_currencies
ME,2010-03-31,0.010301843356328286,0.00041991596105114663,0.04064598724998565,-6.899743644930671e-06,0.051360846823720156,0.05136084682372015,7.589415207398531e-19,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2010-04-30,0.009311585549987183,0.00038064817578325875,0.010870077336855697,0.016495586842641692,0.03705789790526783,0.037057897905267825,8.131516293641283e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2010-05-31,0.010408275533692161,0.000721905700718653,-0.08872454219581444,0.08734623200377709,0.009751871042373484,0.009751871042373473,9.974659986866641e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2010-06-30,0.006169690700297125,0.00041902071925670317,0.007841595410205822,-0.03583599809685163,-0.021405691267091985,-0.021405691267091985,-1.3010426069826053e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2010-07-31,0.005996417329637417,0.0002462176026513414,0.02504530422458551,-0.04164773910053555,-0.010359799943661279,-0.010359799943661274,-3.469446951953614e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2010-08-31,0.006033561475805476,0.00114317909055923,-0.011282502163519066,-0.01857481210737454,-0.0226805737045289,-0.022680573704528896,-1.1926223897340549e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2010-09-30,0.007956840369054412,0.00039191264408527216,0.055373751109172885,-0.03404491268217764,0.029677591440134935,0.029677591440134935,-2.3310346708438345e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2010-10-31,0.01079057086110781,0.00022591613934791317,-0.006301597323824725,-0.02009424032904509,-0.01537935065241409,-0.015379350652414086,-3.577867169202165e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2010-11-30,0.012257920412690998,0.0009494628761755019,-0.044337542808835964,0.06960930474115236,0.03847914522118289,0.038479145221182884,2.6020852139652106e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2010-12-31,0.014818039650639128,0.0070980985854699995,0.049523014796283474,-0.07930830688259984,-0.007869153850207235,-0.007869153850207226,-6.179952383167375e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2011-01-31,0.012428937569202492,0.0015830997613872468,-0.05465830403900797,0.005624557537315152,-0.03502170917110308,-0.03502170917110308,2.168404344971009e-19,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2011-02-28,0.009882023150458781,0.0012903462854080045,0.035997939126759346,-0.007386146483526975,0.039784162079099156,0.039784162079099156,-2.2768245622195593e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2011-03-31,0.013421507376603466,0.0015319671270319273,0.049745356731648836,-0.009364896215322284,0.05533393501996195,0.05533393501996195,3.3610267347050637e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2011-04-30,0.009667484720393454,0.0011246334835346634,0.04397206483400827,-0.07196253653368383,-0.017198353495747436,-0.01719835349574744,2.4936649967166602e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2011-05-31,0.012047404429932301,0.0003559175184014859,-0.04709558793814406,0.0027121748750226935,-0.03198009111478757,-0.03198009111478757,-1.0842021724855044e-19,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
