owner,workstream,variant,basis,window_set,window,start,end,n_obs,cum_return,max_drawdown,worst_obs,hit_rate,sharpe,ann_return,ann_vol,share_pnl,note
Cesare,P4-B tail forecast (null),baseline,daily_net,ERAS,recent 2024-26,2024-01-01,2026-06-30,652.0,0.7092875638921083,-0.1107326824417597,-0.0417769719687692,0.593558282208589,1.9928702450344835,0.2129945560071985,0.106878285998752,0.5325490480142958,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),baseline,daily_net,ERAS,recovery 2009-11,2009-07-01,2011-06-30,522.0,0.0636320508769976,-0.0925280821694796,-0.0295753008816775,0.5076628352490421,0.3452154865520408,0.034883561540273,0.1010486577200943,0.0698288413108704,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),baseline,daily_net,ERAS,taper + EM 2013-16,2013-01-01,2016-12-31,1044.0,0.1170833055617144,-0.2297165080349731,-0.0458918102706338,0.5268199233716475,0.2931403616242702,0.0331291409282507,0.1130146007348987,0.132633792107122,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),baseline,daily_net,ERAS,tightening 2021-23,2021-01-01,2023-12-31,781.0,0.247232857081886,-0.1817288196868836,-0.0352670909604092,0.5710627400768246,0.7043870358517035,0.0773419379246184,0.1098003426924248,0.2316378884230088,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),baseline,daily_net,STRESS,china_em_2015,2015-06-01,2016-02-29,196.0,-0.0518847845100851,-0.0986856115787623,-0.0291017757743077,0.5255102040816326,-0.552481598730055,-0.062171790056444,0.1125318747255172,-0.0467296961132625,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),baseline,daily_net,STRESS,covid_2020,2020-02-01,2020-04-30,64.0,-0.1961865010455717,-0.2403792299900937,-0.0381055203606018,0.4375,,,,-0.2061994556891173,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),baseline,daily_net,STRESS,euro_2011,2011-07-01,2012-12-31,392.0,-0.0509508740301408,-0.1896354671913932,-0.0490595446782844,0.5153061224489796,-0.2239847256138321,-0.0265682134044402,0.1186161839010663,-0.0399385167303258,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),baseline,daily_net,STRESS,gfc_2008,2008-09-01,2009-06-30,217.0,-0.0591311403556239,-0.1781896476585691,-0.0402511930187669,0.5161290322580645,-0.4301207436021675,-0.0607782268406118,0.1413050352596515,-0.0505767912858717,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),baseline,daily_net,STRESS,oil_2026,2026-02-01,2026-05-31,85.0,0.1007486528886911,-0.0178260554233389,-0.017701988613771,0.6352941176470588,,,,0.0941941740965334,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),baseline,daily_net,STRESS,rates_2022,2022-01-01,2022-10-31,216.0,0.2554309382923316,-0.0655638908629178,-0.0218801823967604,0.6157407407407407,2.7506140838037716,0.2703339559115026,0.0982813101638972,0.2239225671577645,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),baseline,daily_net,STRESS,semis_2026,2026-04-01,2026-06-30,65.0,0.1168042666554125,-0.0178260554233387,-0.017701988613771,0.6461538461538462,,,,0.1077326762656418,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),baseline,daily_net,STRESS,taper_2013,2013-05-01,2013-09-30,109.0,-0.1285559057814608,-0.1905674581609462,-0.0403177730931683,0.4862385321100917,,,,-0.1276622718017687,source: cesare/outputs/p4_tail_overlay_by_episode.csv
