,start,end,n_days,ann_return,ann_vol,daily_variance,skew,excess_kurtosis,sharpe,max_drawdown,VaR_95,VaR_99,CVaR_95,CVaR_99,hit_rate,best_day,worst_day,autocorr_1d,cagr,sortino,calmar,info_ratio,avg_monthly_turnover,ann_cost_drag,base,alpha_vs_carry_ann,t_alpha_vs_carry
ALL_carry_gross,2007-05-01,2026-06-30,5001,0.07029004560222012,0.11184804136915838,4.9642795071892706e-05,-0.65215157306325,4.579733719813256,0.6284423467928719,-0.2678294999211406,0.010594454202481727,0.021711195215249522,0.017392479812147938,0.029185601642047237,0.5440911817636472,0.04132775344824964,-0.04905954467828443,0.010658595134984216,0.06610270482031888,0.8607033865306162,0.24680890208054784,0.49730352064917155,0.6841360052850849,,,,
ALL_carry_net,2007-05-01,2026-06-30,5001,0.05214343433645578,0.1119142098626392,4.9701549084043035e-05,-0.6480046211041329,4.5434987215595175,0.46592326747832447,-0.29318494205516343,0.0106611582472443,0.021880182396760452,0.01749253185403459,0.02919874578407466,0.5382923415316937,0.04132775344824964,-0.04905954467828443,0.007721205573921591,0.046927046651773496,0.6341168503826068,0.1600595389477542,0.33764151945240606,0.6841360052850849,0.01812124659346792,,,
ALL_mom21_gross,2007-05-01,2026-06-30,5001,0.009685819046436811,0.11132494064399871,4.917953337059458e-05,0.1259143893477451,2.812916759195695,0.08700493339952167,-0.5514566675008575,0.011135852792403329,0.01907058751693115,0.015848281286997164,0.02286705498094597,0.5042991401719656,0.04249296545389131,-0.040450204774614154,-0.0638375342321697,0.0034996010773085118,0.12426190978843957,0.00634610348111,-0.02888088210801291,2.4233427332846604,,ALL_carry_gross,0.01036355058473217,0.42953678366555176
ALL_mom21_net,2007-05-01,2026-06-30,5001,-0.036705183418237315,0.11231969922001868,5.006236044791851e-05,0.09075774713425791,2.784499546238642,-0.32679203802297374,-0.7277957691416218,0.011347246302435218,0.019513703370769152,0.016290211617030495,0.023355296163159112,0.4953009398120376,0.04249296545389131,-0.040450204774614154,-0.060665206146129344,-0.042102499042727226,-0.4556905671590798,-0.05784933195253915,-0.33793417188264535,2.4233427332846604,0.046326158811069336,ALL_carry_net,-0.03644156913738077,-1.5060363445704916
ALL_filter21_gross,2007-05-01,2026-06-30,5001,0.061286139454990965,0.11838232887065045,5.5612602336662056e-05,-0.9481749996358,13.375678008968707,0.517696686994178,-0.24090775891572314,0.010810871473593867,0.020759557092021874,0.017921392731892,0.033174972403768724,0.526494701059788,0.06537045014496973,-0.08281497962556622,-0.021547729572387125,0.05573800088822778,0.7046064360217055,0.23136656593832092,0.3575905897115599,1.3647560880139888,,ALL_carry_gross,0.015098966418634943,0.7103200649418002
ALL_filter21_net,2007-05-01,2026-06-30,5001,0.03379877188842685,0.11874327681314646,5.595224519176001e-05,-0.943561042687489,13.208970994403183,0.2846373520718343,-0.3733213402256752,0.01098592241312439,0.020759557092021874,0.018099798468548842,0.03334428459585872,0.5198960207958409,0.06537045014496973,-0.08281497962556622,-0.023133141382189245,0.027073407122109927,0.3837879583930967,0.07252038446487917,0.14976081513465977,1.3647560880139888,0.027448946725316916,ALL_carry_net,-0.0005567897222732486,-0.026367597236618242
ALL_blend21_gross,2007-05-01,2026-06-30,5001,0.0392452025873323,0.10869117339129643,4.688004433800342e-05,-0.3457033379738041,3.313986238426825,0.3610707416511791,-0.33707284395444526,0.010766462931525007,0.018571661380440765,0.01583223799489739,0.02504431670476953,0.5148970205958808,0.03573695712718837,-0.04880365420751688,-0.03055363387237495,0.03388969000618358,0.5049203205098096,0.1005411459689221,0.19174017334526103,2.1782118069415426,,ALL_carry_gross,0.0032497712587910804,0.15714975964698144
ALL_blend21_net,2007-05-01,2026-06-30,5001,-0.002114242932272264,0.10958563337246358,4.765480572080953e-05,-0.34768020291820934,3.211522490834879,-0.019293066684081657,-0.5854235076556797,0.010979600969521261,0.018742239693839466,0.016140262664704294,0.025353654214310656,0.5042991401719656,0.03573695712718837,-0.04880365420751688,-0.0322838486704206,-0.008095213225006392,-0.02649480059656616,-0.01382796064582982,-0.12069858660375543,2.1782118069415426,0.04130163479303964,ALL_carry_net,-0.029023406266015142,-1.4004869625304917
ALL_mom63_gross,2007-05-01,2026-06-30,5001,0.004360284312421481,0.11180432832554177,4.960399933462516e-05,-0.10833196597540716,3.882245376586755,0.03899924428440371,-0.44865948409941336,0.011206887113971163,0.019375596627307836,0.016606299371420573,0.024820248497852332,0.5142971405718856,0.04450634560645275,-0.05329253710802258,-0.02772475364887899,-0.0018908454470591973,0.05432769748218718,-0.004214433248535155,-0.06412532767287785,1.7149321585429547,,ALL_carry_gross,-0.0002271110739753805,-0.00942634253265182
ALL_mom63_net,2007-05-01,2026-06-30,5001,-0.030212557904370947,0.11227074543359286,5.0018731270692906e-05,-0.11404456967024945,3.8229644740690905,-0.2691044562649796,-0.6485181885913395,0.011308648187260411,0.01979938213640763,0.016837873145644017,0.025006116389100084,0.5068986202759448,0.04450634560645275,-0.05329253710802258,-0.028187538573465447,-0.03586258147453614,-0.3692416563057144,-0.05529926855626676,-0.29235406849935486,1.7149321585429547,0.034524517557144356,ALL_carry_net,-0.03379637064813961,-1.4048088697062118
