date,AUD,CAD,CHF,EUR,GBP,JPY,NOK,NZD,SEK
2012-01-31,0.31513670274776834,0.0,-0.2876812872013792,-0.3240808286649535,0.0,-0.40784697392372554,0.0,0.3400720297218845,0.3644003573204055
2012-02-29,0.3921859932884916,0.0,-0.36232045304170585,-0.3653283424686561,0.0,-0.4851279828009613,0.0,0.40891134037177834,0.41167944465105333
2012-03-31,0.5985343303723153,0.0,-0.509831494819448,-0.5267539347205694,0.0,-0.6910592188521644,0.5382738421064195,0.5908364759134473,0.0
2012-04-30,0.5155173921189773,0.0,-0.4509633855315489,-0.46100186051026876,0.0,-0.47703910433430763,0.0,0.451606108929688,0.4218808493274601
2012-05-31,0.48339932775159516,0.0,-0.4709654029351538,-0.48736566519979707,0.0,-0.41132593638530096,0.0,0.4370720896303158,0.4491855871383409
2012-06-30,0.5032069686875872,0.0,-0.48368759230098957,-0.5107648837694863,0.0,-0.4394158215952104,0.0,0.4414684849295238,0.4891928440485753
2012-07-31,0.4861529241131921,0.0,-0.475297807704857,-0.47489395488309094,0.0,-0.530078613542722,0.0,0.454746556034416,0.5393708959830619
2012-08-31,0.4963037317644843,0.0,-0.4482648009380031,-0.44327312014791576,0.0,-0.5943592379030792,0.0,0.4631939791093665,0.5263994481151472
2012-09-30,0.5398475119072549,0.0,-0.49079945026888666,-0.4844332918524079,0.0,-0.6501681751098047,0.0,0.525880456812341,0.5596729485115033
2012-10-31,0.5698810153263644,0.0,-0.5296572025941383,-0.48106278501052896,0.0,-0.6738149555841064,0.5933040628866584,0.5213498649757512,0.0
2012-11-30,0.6990293823174223,0.0,-0.6619986181769424,-0.583101002238217,0.0,-0.6985720510075012,0.6133810344137222,0.6312612546915163,0.0
2012-12-31,0.8339363843542064,0.0,-0.809180149922147,-0.7471569518215817,0.0,-0.7343235925432257,0.7404900888341202,0.7162342210986276,0.0
2013-01-31,0.8219823536353998,0.0,-0.7791751782582558,-0.7546692292182253,0.0,-0.6324221239280717,0.7371785936403946,0.607105584128758,0.0
2013-02-28,0.7120974072155193,0.0,-0.691031061396836,-0.7069013156754482,0.0,-0.48525070401738235,0.6374406996948538,0.5336449741792934,0.0
2013-03-31,0.6836220073189595,0.0,-0.7140235297710523,-0.636089516425535,0.0,-0.43494447843366446,0.5829288098390589,0.5185067074722333,0.0
2013-04-30,0.771670716672015,0.0,-0.7582752012906653,-0.686312312815134,0.0,-0.5031481413464014,0.5758678921846321,0.6001970465955536,0.0
2013-05-31,0.5979306655716949,0.0,-0.6143234425164821,-0.5940296532426095,0.0,-0.35290006843579386,0.4859152614078939,0.47740723721529676,0.0
2013-06-30,0.47859990896488147,0.0,-0.4614612065066852,-0.5305461523592458,0.0,-0.33434738546531234,0.4559590158832676,0.3917958194830944,0.0
2013-07-31,0.3558069994528557,0.0,-0.3586500070176417,-0.41093232373349664,0.0,-0.2577344499354169,0.3409792256428632,0.3305305555908365,0.0
2013-08-31,0.32460769163303255,0.0,-0.3276433502084286,-0.3900121311731956,0.0,-0.25736396410790424,0.32520293923063254,0.3252088146258633,0.0
2013-09-30,0.33711927642430317,0.0,-0.3478385267659357,-0.39010697270687816,0.0,-0.2373152006476003,0.3000007693265791,0.338140654369532,0.0
2013-10-31,0.35341254611147677,0.0,-0.36276255326935725,-0.4273126437552934,0.0,-0.2781998379675543,0.35420661378984863,0.3606558750908796,0.0
2013-11-30,0.41954540851123395,0.0,-0.3770740809689496,-0.45776792328905347,0.0,-0.3095740991296305,0.3491691731116559,0.37570152176474375,0.0
2013-12-31,0.5039561701115328,0.0,-0.4745543676558377,-0.5375322195112562,0.0,-0.4018056445975204,0.4184564827709983,0.4914795788820832,0.0
2014-01-31,0.5242681901105726,0.0,-0.508439094106587,-0.5851007592946291,0.0,-0.4476242554487889,0.4841027261353255,0.5327931926041072,0.0
2014-02-28,0.43785813694046694,0.0,-0.43553985203844825,-0.5419452567391577,0.0,-0.37737368296322066,0.4366970744101373,0.48030358039022264,0.0
2014-03-31,0.40704554752286404,0.0,-0.39834343511019954,-0.5103077318075409,0.0,-0.36711465575831737,0.41912817229478555,0.4495921028584082,0.0
2014-04-30,0.41307974420390553,0.0,-0.42335696556819086,-0.5191312497550794,0.0,-0.3769304115121564,0.4507928786954006,0.4555460039361204,0.0
2014-05-31,0.6396231823766126,0.0,-0.6648092549914609,-0.7394674688877225,0.0,-0.5812376757524716,0.6618791736617421,0.6840120435933005,0.0
2014-06-30,0.7420506545476334,0.0,-0.7820386167093979,-0.8706682735956962,0.0,-0.6445137570578654,0.8223886074689727,0.7327813853463533,0.0
2014-07-31,0.799921880522159,0.0,-0.7459670351433074,-0.8516529109655906,0.0,-0.7259836190165623,0.8380737730844882,0.6856079115188135,0.0
2014-08-31,0.8082129211540778,0.0,-0.7473554545448217,-0.8713042388826295,0.0,-0.7853881061406492,0.9078960866130502,0.6879387918009726,0.0
2014-09-30,0.9419603437932365,0.0,-0.8282350345327155,-0.9398838529385578,0.0,-0.8295833600713124,0.8994511419760622,0.7562907617732868,0.0
2014-10-31,0.6487954692664112,0.0,-0.5824197622114794,-0.6417162570160762,0.0,-0.673491233121867,0.6676974907496398,0.5811342923333713,0.0
2014-11-30,0.597473704331887,0.0,-0.5844413181800059,-0.6028715462103678,0.0,-0.5262705605915918,0.6223013951438232,0.4938083255062554,0.0
2014-12-31,0.5223216156910742,0.0,-0.5331831474207315,-0.549406086701968,0.0,-0.4661874358840097,0.5631485489394825,0.4633065053761524,0.0
2015-01-31,0.5356429122126966,0.0,-0.5264012585279227,-0.5315707152674355,0.0,-0.38828181420161784,0.45528059972004664,0.45533027606423293,0.0
2015-02-28,0.2677998449580908,0.0,-0.1226713136381523,-0.27341335941512734,0.0,-0.27341335941512734,0.18115517135199133,0.22054301615832483,0.0
2015-03-31,0.26766791301564063,0.0,-0.12355149162854062,-0.27280795983191564,0.0,-0.27280795983191564,0.1737305785307318,0.2277689197459994,0.0
2015-04-30,0.255713641750468,0.0,-0.12457352785041802,0.0,0.0,-0.27686491861223045,0.192082353073848,0.23050737025056298,-0.27686491861223045
2015-05-31,0.48732880863476336,0.0,-0.45910250483339393,-0.45327415624787415,0.0,0.0,0.40409312734363695,0.4792657710116337,-0.4583110459087658
2015-06-30,0.42295992814500066,0.0,-0.3502056335149686,0.0,0.0,-0.48738731162091586,0.377117467264504,0.4183495174194122,-0.38083396769303257
2015-07-31,0.42597434838767717,0.0,-0.3955557385211944,-0.39534671253385845,0.0,0.0,0.33433793602483575,0.41526813242944544,-0.38467796578690555
2015-08-31,0.4989188041091021,0.0,-0.4555686873196922,-0.40396803300245043,0.0,0.0,0.3693309182865244,0.4230634571761635,-0.43177645924964747
2015-09-30,0.32978413019027364,0.0,-0.27543678744791295,0.0,0.0,-0.30293785812035895,0.277106160091147,0.2457337803972969,-0.2742494251104455
2015-10-31,0.28898767678907894,0.0,-0.27578598911314905,-0.25353113126115356,0.0,0.0,0.2710963862139674,0.22581669090969403,-0.25658363353843777
2015-11-30,0.27313365485941815,0.0,-0.25688498712670377,-0.23875516832716417,0.0,0.0,0.2470131432821182,0.21691680368948527,-0.24142344637715366
2015-12-31,0.42964917515686263,0.0,-0.37639333184031715,0.0,0.0,-0.46015754465043535,0.36700580713756953,0.3537233825240092,-0.3138274883276888
2016-01-31,0.39054413237695734,0.0,-0.3877471920774465,-0.33470483855665123,0.0,0.0,0.35763449842890244,0.3467216980048574,-0.3724482981766193
2016-02-29,0.3462993724588179,0.0,-0.3602355163448817,-0.34195968201514176,0.0,0.0,0.36740802864720956,0.35329409684925406,-0.36480629959525807
2016-03-31,0.30558010290680815,0.0,-0.3318763926022293,0.0,0.0,-0.29141597910604133,0.36474473061080886,0.30380262239377104,-0.3508350842031176
2016-04-30,0.32597690604469914,0.0,-0.3453286862772073,0.0,0.0,-0.27297147267275357,0.3733271671191218,0.28525211713179216,-0.3662560313456522
2016-05-31,0.32425839439994575,0.0,-0.3110085331574788,-0.3255316601422624,0.0,0.0,0.38288535809397944,0.2786408666402308,-0.3492444258344148
2016-06-30,0.373107873925026,0.0,-0.4498281055950422,0.0,0.0,-0.2872217742157129,0.44534853861064544,0.3527102254115014,-0.4341167581364177
2016-07-31,0.37890396740288734,0.0,-0.44951655800323476,-0.38320170373784135,0.0,0.0,0.3607487582548754,0.38413827042538035,-0.29107273434206704
2016-08-31,0.4330341421087576,0.0,-0.4818098050912185,-0.4164066434983115,0.0,0.0,0.37111417357630405,0.40037270297369404,-0.30630457006922573
2016-09-30,0.44730780878279924,0.0,-0.4879075895850637,0.0,0.0,-0.32166908994165866,0.36750731251690544,0.40493053361136283,-0.4101689753843452
2016-10-31,0.613666697771166,0.0,-0.5343020025807956,-0.6685860352895826,0.0,0.0,0.5699442365523221,0.535582625543208,-0.5163055219963181
2016-11-30,0.673769015850676,0.0,-0.6681573579598138,-0.7634499848147661,0.0,0.0,0.6272920019458835,0.6533270231408863,-0.5227806981628662
2016-12-31,0.5292242537473524,0.0,-0.6533716084918391,0.0,0.0,-0.450407280503904,0.5782409059769961,0.5259582362341064,-0.5296445069627116
2017-01-31,0.5666945244547121,0.0,-0.6634946129932686,0.0,0.0,-0.5042904529736377,0.5540854973448532,0.5379441025502242,-0.490939058382883
2017-02-28,0.6244074984087377,0.0,-0.6966254632018334,-0.5641334554072468,0.0,0.0,0.6023593780980195,0.5645697234889484,-0.5305776813866253
2017-03-31,0.6689683987092977,0.6923651574291475,-0.7208452156399423,-0.6286493013246343,0.0,0.0,0.0,0.5570448896977812,-0.5688839288716501
2017-04-30,0.5825380834803859,0.0,-0.6318792052301374,-0.5470439664664514,0.0,0.0,0.6063778544679127,0.5201666334181225,-0.5301593996698325
2017-05-31,0.545321506718665,0.0,-0.646852182631467,-0.5216821160487968,0.0,0.0,0.5356556076048641,0.5557168975306724,-0.4681597131739375
2017-06-30,0.5296130174351267,0.0,-0.5493281979153994,-0.4935207855401608,0.0,0.0,0.4774623063255877,0.5025410954945491,-0.46676743579970326
2017-07-31,0.5197574275474498,0.5624146773079072,-0.5570978610692475,-0.5284959961286744,0.0,0.0,0.0,0.4769823373181203,-0.4735605849755555
2017-08-31,0.5391328228885532,0.5514055641634981,-0.5334888961180058,-0.5427752436081276,0.0,0.0,0.0,0.5035452867360413,-0.517819534061959
2017-09-30,0.5349573745445505,0.5006724297783635,-0.5182733325076002,-0.5297684102807225,0.0,0.0,0.0,0.5201923434528684,-0.5077804049874596
2017-10-31,0.4846351082531087,0.4766487273184983,-0.46247311305313626,-0.49172623100181806,0.0,0.0,0.0,0.4454740812197519,-0.4525585727364046
2017-11-30,0.4892835935550079,0.46530228588129185,-0.4631721304356988,-0.4813972620122371,0.0,0.0,0.0,0.40974832759682633,-0.41976481458519044
2017-12-31,0.50811340419708,0.5621864638167251,-0.5337397834170062,-0.4944317804785172,0.0,0.0,0.0,0.4030283491463199,-0.44515665326460163
2018-01-31,0.5842483283155455,0.551771529166972,-0.5710273296249991,-0.5779312403173009,0.0,0.0,0.0,0.45258040507006553,-0.4396416926102832
2018-02-28,0.6847091354741639,0.6215109658547802,-0.6214281121413164,-0.692230709613244,0.0,0.0,0.0,0.5659461815202437,-0.5585074610946275
2018-03-31,0.6284714014784741,0.7059333045948651,-0.6586905032340747,-0.6993625656748949,0.0,0.0,0.0,0.5610498593325735,-0.5374014964969432
